0,1467810369,Mon Apr 06 22:19:45 PDT 2009,NO_QUERY,_TheSpecialOne_,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D"
0,2200003313,Tue Jun 16 18:18:13 PDT 2009,NO_QUERY,DEWGetMeTho77,@Nkluvr4eva My poor little dumpling  In Holmdel vids he was really trying...Hope he dont try to hard tonight xx
0,1467998601,Mon Apr 06 23:11:18 PDT 2009,NO_QUERY,Young_J,I'm off too bed. I gotta wake up hella early tomorrow morning. 
0,2300049112,Tue Jun 23 13:40:12 PDT 2009,NO_QUERY,dougnawoschik,I havent been able to listen to it yet  My speakers are busted
0,1993474319,Mon Jun 01 10:26:09 PDT 2009,NO_QUERY,thireven,now remembers why solving a relatively big equation with two unknowns is a total pain in the butt 
0,2256551006,Sat Jun 20 12:56:51 PDT 2009,NO_QUERY,taracollins086,"Ate too much, feel sick "
0,2052381070,Sat Jun 06 00:32:23 PDT 2009,NO_QUERY,Portablemonkey,Tried to purchase a parked domain through GoDaddy. $70 down the drain  kind of like gambling...
4,1983449090,Sun May 31 13:10:36 PDT 2009,NO_QUERY,jessig06,on lunch....dj should come eat with me 
0,2245480599,Fri Jun 19 16:11:34 PDT 2009,NO_QUERY,Aligrl,Just got back from VA Tech Equine Medical Center...my poor Lilly has to be on stall rest for at least another month 
0,1770706008,Mon May 11 22:01:35 PDT 2009,NO_QUERY,leyyyy,can't log in to my other twitter account. super bummed 
4,2050057894,Fri Jun 05 17:59:34 PDT 2009,NO_QUERY,AmiAhuja,@TamaraSchilling Adventure - That's what we all need in our life. I am glad you had a great week. Thanks for yr response 
4,2052206835,Fri Jun 05 23:59:27 PDT 2009,NO_QUERY,salmafan,@PerezHilton Zach makes me pee sitting down! And I'm a grown gay man! 
4,1992273171,Mon Jun 01 08:29:05 PDT 2009,NO_QUERY,spanishman,to sum up my day in one word ......... kackered! 
4,2069921255,Sun Jun 07 16:46:29 PDT 2009,NO_QUERY,DannyMacRant,@k9wkj Great minds think alike 
0,2204735591,Wed Jun 17 03:00:02 PDT 2009,NO_QUERY,tamblah,is very tired and doesn't want to clean anymore 
4,1553585474,Sat Apr 18 14:40:00 PDT 2009,NO_QUERY,RPattz4_DEJA,@LochNessCullen thanks for the follow!  how are you nessie? 
4,1834598670,Mon May 18 03:32:38 PDT 2009,NO_QUERY,londoneater,"@SallyGreene @andrewtc04 @Syondeli thanks guys, added a couple of love handle inches after tayyabs "
4,2190762188,Tue Jun 16 03:39:22 PDT 2009,NO_QUERY,biaromerok,"i'm feeling quite sleepy today, wish i could stay in bed today...but OK! is my LAST YEAR, so let's go to school "
0,1973926318,Sat May 30 12:06:09 PDT 2009,NO_QUERY,mmmmQuiznos,"so sad...   tough game, went into PK's, screw you."
0,2003334348,Tue Jun 02 06:20:35 PDT 2009,NO_QUERY,daniellet01,@pedromelian I miss you  I wish it was the 18th already!
